note,velocity,position,duration
45,65,50890,224
69,64,50890,712
76,78,50890,712
52,62,51129,222
57,63,51366,222
52,62,51602,223
85,69,51602,109
86,69,51719,114
45,67,51842,492
85,74,51842,239
81,69,52096,109
83,69,52213,114
52,63,52334,475
81,70,52334,222
76,69,52571,109
78,69,52687,115
57,65,52809,476
76,72,52809,476
52,63,53285,475
67,62,53285,475
71,76,53285,475
45,67,53762,492
69,69,53762,492
73,83,53762,492
52,63,54254,475
71,65,54254,475
74,79,54254,475
57,65,54729,476
73,68,54729,476
76,82,54729,476
45,63,55205,475
67,67,55442,223
79,81,55442,238
69,72,55602,572
74,72,55642,532
46,80,55682,239
81,86,55682,492
53,75,55936,224
58,76,56174,222
67,68,56174,475
79,82,56174,475
62,75,56411,224
58,78,56649,225
62,70,56649,476
74,84,56649,476
53,75,56889,222
46,76,57125,223
67,68,57125,475
79,82,57125,475
53,75,57362,223
72,72,57522,450
76,72,57562,410
36,78,57602,239
81,86,57602,370
48,75,57856,224
79,75,57972,358
55,76,58094,222
60,75,58330,225
74,67,58330,952
77,67,58330,952
82,81,58330,952
64,78,58570,224
60,75,58809,222
55,76,59046,222
48,75,59282,223
81,75,59282,223
45,80,59522,239
72,72,59522,253
79,82,59522,253
52,75,59775,225
72,67,59775,239
79,81,59775,239
57,76,60014,222
72,68,60014,236
77,82,60014,236
60,75,60250,225
72,67,60250,239
77,81,60250,239
57,78,60489,225
72,70,60489,476
76,84,60489,476
52,75,60729,222
45,76,60965,475
69,68,60965,475
72,82,60965,475
50,80,61442,239
65,72,61442,967
69,86,61442,967
57,75,61696,224
62,76,61934,222
65,75,62171,238
74,75,62649,236
50,76,62885,223
74,76,62885,223
48,75,63122,223
76,75,63122,223
65,72,63282,450
70,72,63322,410
46,80,63362,239
77,86,63362,370
53,75,63616,224
76,75,63732,358
58,76,63854,951
70,67,64090,478
77,81,64090,478
76,75,64568,223
46,76,64805,475
77,76,64805,223
81,75,65042,223
45,80,65282,239
72,72,65282,492
76,72,65282,492
79,86,65282,492
52,75,65536,224
57,76,65774,222
72,68,65774,475
76,82,65774,475
60,75,66011,224
57,78,66249,225
72,70,66249,476
74,84,66249,476
52,75,66489,222
45,76,66725,223
72,76,66725,475
52,75,66962,223
65,72,67122,1047
70,72,67162,1007
46,80,67202,239
74,86,67202,967
53,75,67456,224
58,76,67694,222
62,75,67931,1189
69,70,68169,713
81,84,68169,713
79,75,68882,109
77,75,68999,114
48,80,69122,239
72,72,69122,967
76,86,69122,967
55,75,69376,224
60,76,69614,222
64,75,69851,1189
65,67,70329,236
77,81,70329,236
65,68,70565,223
77,82,70565,237
67,67,70802,223
79,81,70802,238
69,72,70962,572
74,72,71002,532
46,80,71042,239
81,86,71042,492
53,75,71296,224
58,76,71534,222
67,68,71534,475
79,82,71534,475
62,75,71771,224
58,78,72009,225
62,70,72009,476
74,84,72009,476
53,75,72249,222
46,76,72485,223
67,68,72485,475
79,82,72485,475
53,75,72722,223
72,72,72882,450
76,72,72922,410
36,78,72962,239
81,86,72962,370
48,75,73216,224
79,75,73332,358
55,76,73454,222
60,75,73690,225
74,67,73690,952
77,67,73690,952
82,81,73690,952
64,78,73930,224
60,75,74169,222
55,76,74406,222
48,75,74642,223
81,75,74642,223
45,80,74882,239
72,72,74882,492
79,86,74882,492
52,75,75136,224
57,76,75374,222
72,68,75374,475
84,82,75374,475
60,75,75611,224
57,78,75849,225
70,70,75849,356
82,84,75849,356
52,75,76089,222
69,67,76205,357
81,81,76205,357
45,76,76326,474
69,67,76562,238
81,77,76562,238
50,80,76802,239
69,72,76802,239
81,86,76802,253
57,75,77055,225
67,67,77055,953
79,81,77055,953
62,76,77294,222
65,75,77531,714
77,75,78008,237
50,76,78245,223
77,76,78245,223
48,75,78482,223
76,75,78482,223
65,72,78642,808
70,72,78682,768
46,80,78722,239
74,86,78722,728
53,75,78976,224
58,76,79214,475
70,75,79450,225
46,78,79689,225
74,78,79689,239
53,75,79928,223
74,75,79928,223
58,76,80166,474
76,76,80166,222
77,75,80402,109
76,75,80519,362
48,80,80642,492
72,75,80896,238
60,76,81134,475
72,76,81134,236
72,75,81370,110
84,75,81487,361
55,78,81609,951
82,75,81848,223
81,76,82086,222
79,75,82322,223
47,80,82562,239
74,72,82562,239
81,86,82562,253
54,75,82815,225
86,67,82815,239
98,81,82815,239
59,76,83054,222
86,68,83054,475
98,82,83054,475
62,75,83291,224
59,78,83529,225
81,70,83529,239
93,84,83529,239
54,75,83768,223
81,67,83768,474
93,81,83768,474
47,76,84006,222
54,75,84242,223
78,67,84242,238
90,81,84242,238
59,80,84482,239
