note,velocity,position,duration
51,62,33013,114
60,63,33134,114
51,62,33255,108
56,62,33370,110
68,73,33370,110
80,87,33370,117
51,62,33487,115
65,73,33487,1073
70,73,33487,1073
77,87,33487,1073
44,73,33610,116
51,62,33733,108
56,62,33849,109
51,62,33965,113
44,72,34086,113
51,62,34206,109
56,62,34322,109
51,62,34439,114
43,76,34562,130
67,78,34562,728
71,78,34562,728
77,92,34562,728
50,62,34699,109
55,62,34816,109
50,62,34933,114
47,82,35054,114
54,62,35175,108
59,62,35290,110
67,73,35290,117
79,87,35290,117
54,62,35407,115
67,73,35407,951
72,73,35407,951
75,87,35407,951
48,84,35530,116
55,62,35653,108
60,62,35769,109
55,62,35885,113
46,82,36006,113
53,62,36126,109
58,62,36242,223
70,81,36358,122
41,79,36482,130
60,78,36482,239
65,78,36482,239
70,92,36482,253
48,69,36619,109
53,69,36735,110
68,81,36735,110
56,69,36853,114
67,81,36853,235
53,70,36974,114
48,69,37095,108
68,81,37095,218
41,69,37211,224
61,81,37327,951
66,81,37327,951
73,91,37327,951
35,77,37450,116
42,69,37573,108
47,69,37689,109
51,69,37805,113
54,70,37926,113
59,81,38046,109
63,81,38162,223
62,73,38278,115
74,87,38278,122
36,76,38402,130
43,92,38402,137
65,78,38402,239
77,92,38402,253
48,81,38539,109
51,81,38655,110
63,73,38655,110
75,87,38655,117
55,81,38772,115
62,73,38772,228
74,87,38772,243
60,82,38894,475
63,73,39015,218
75,87,39015,232
70,89,39247,478
75,89,39247,478
82,103,39247,478
34,88,39369,117
46,81,39493,108
53,81,39609,109
58,81,39725,595
70,86,39725,473
72,86,39725,473
74,100,39725,473
75,81,40198,122
47,73,40322,130
70,86,40322,728
75,86,40322,728
82,100,40322,728
54,68,40459,109
59,68,40576,109
54,68,40693,114
63,69,40814,114
54,68,40935,108
59,68,41050,110
71,81,41050,110
83,95,41050,117
54,68,41167,115
68,81,41167,1073
73,81,41167,1073
80,95,41167,1073
47,71,41290,116
54,68,41413,108
59,68,41529,109
54,68,41645,113
47,69,41766,113
