note,velocity,position,duration
94,46,59120,80
98,40,59200,80
86,50,59280,240
74,54,59520,80
82,46,59600,80
86,40,59680,80
74,59,59760,240
72,50,60240,120
70,49,60360,60
72,49,60420,60
70,58,60480,240
69,49,60960,120
69,42,61140,60
72,50,61200,480
70,46,61680,240
79,54,61920,80
86,46,62000,80
91,40,62080,80
79,50,62160,240
67,54,62400,80
74,46,62480,80
79,40,62560,80
67,59,62640,240
63,50,63120,240
62,58,63360,240
70,54,63600,240
69,49,63840,117
69,42,63960,60
70,42,64000,60
69,50,64080,480
67,46,64560,240
86,54,64800,80
94,46,64880,80
98,40,64960,80
86,50,65040,240
74,54,65280,80
82,46,65360,80
86,40,65440,80
74,59,65520,240
72,50,66000,120
70,49,66120,60
72,49,66180,60
70,58,66240,240
69,49,66720,120
69,42,66900,60
72,50,66960,480
70,46,67440,240
79,54,67680,80
86,46,67760,80
91,40,67840,80
79,50,67920,240
67,54,68160,80
74,46,68240,80
79,40,68320,80
67,59,68400,240
63,50,68880,240
62,58,69120,240
70,54,69360,240
69,49,69600,117
69,42,69720,60
70,42,69760,60
69,50,69840,480
67,46,70320,240
77,54,70560,80
82,46,70640,80
89,40,70720,80
77,50,70800,240
65,54,71040,80
74,46,71120,80
77,40,71200,80
65,59,71280,240
63,50,71760,120
63,58,72000,80
65,48,72080,80
63,48,72160,80
62,55,72240,240
60,50,72480,120
60,45,72660,60
63,50,72720,480
62,46,73200,240
74,54,73440,80
79,46,73520,80
86,40,73600,80
74,50,73680,240
62,54,73920,80
67,46,74000,80
74,40,74080,80
62,59,74160,240
60,50,74640,120
60,58,74880,80
62,48,74960,80
60,48,75040,80
58,55,75120,240
57,50,75360,120
57,45,75520,60
60,50,75600,480
58,46,76080,240
67,54,76320,80
75,46,76400,80
79,40,76480,80
67,57,76560,240
68,59,77040,80
75,50,77120,80
80,44,77200,80
68,50,77280,240
66,64,77760,80
72,55,77840,80
78,48,77920,80
66,68,78000,240
67,67,78480,80
74,57,78560,80
79,50,78640,80
67,57,78720,240
63,73,79200,80
67,63,79280,80
75,55,79360,80
63,78,79440,240
60,80,79920,80
67,69,80000,80
72,59,80080,80
60,85,80160,240
62,85,80640,80
67,74,80720,80
62,64,80800,80
61,86,80880,120
62,93,81120,120
67,96,81360,120
67,87,81600,120
70,87,81600,120
79,103,81600,120
67,37,0,240
67,38,480,120
66,46,720,240
66,38,1200,120
65,46,1440,240
65,37,1920,120
64,45,2160,240
64,40,2640,120
63,47,2880,240
63,34,3360,180
60,41,3540,300
67,44,3550,290
69,45,3560,280
50,31,4320,240
57,31,4320,240
60,37,4320,240
38,31,4800,120
50,31,4800,120
43,31,5040,240
55,31,5040,240
55,37,5760,720
58,26,6000,180
62,31,6000,180
58,26,6240,180
62,31,6240,180
55,37,6480,720
57,26,6720,180
60,26,6720,180
63,31,6720,180
57,26,6960,180
60,26,6960,180
63,31,6960,180
54,37,7200,720
60,26,7440,180
62,31,7440,180
60,26,7680,180
62,31,7680,180
55,37,7920,720
62,31,8160,180
58,26,8160,180
58,26,8400,180
62,31,8400,180
46,37,8640,720
50,26,8880,180
55,31,8880,180
50,26,9120,180
55,31,9120,180
48,37,9360,720
55,26,9600,180
57,31,9600,180
55,26,9840,180
57,31,9840,180
55,37,10080,720
54,26,10320,180
60,31,10320,180
54,26,10560,180
60,31,10560,180
55,37,10800,720
62,31,11040,180
58,26,11040,180
58,26,11280,180
62,31,11280,180
55,37,11520,720
58,26,11760,180
62,31,11760,180
58,26,12000,180
62,31,12000,180
55,37,12240,720
57,26,12480,180
60,26,12480,180
63,31,12480,180
57,26,12720,180
60,26,12720,180
63,31,12720,180
54,37,12960,720
60,26,13200,180
62,31,13200,180
60,26,13440,180
62,31,13440,180
55,37,13680,720
62,31,13920,180
58,26,13920,180
58,26,14160,180
62,31,14160,180
46,37,14400,720
50,26,14640,180
55,31,14640,180
50,26,14880,180
55,31,14880,180
48,37,15120,720
55,26,15360,180
57,31,15360,180
55,26,15600,180
57,31,15600,180
55,37,15840,720
54,26,16080,180
60,31,16080,180
54,26,16320,180
60,31,16320,180
55,37,16560,720
62,31,16800,180
58,26,16800,180
58,26,17040,180
62,31,17040,180
50,37,17280,720
53,26,17520,180
58,31,17520,180
53,26,17760,180
58,31,17760,180
48,37,18000,720
55,26,18240,180
58,31,18240,180
55,26,18480,180
58,31,18480,180
41,37,18720,720
53,26,18960,180
57,31,18960,180
53,26,19200,180
57,31,19200,180
46,37,19440,720
58,31,19680,180
53,26,19680,180
53,26,19920,180
58,31,19920,180
46,37,20160,720
50,26,20400,180
55,31,20400,180
50,26,20640,180
55,31,20640,180
45,37,20880,720
51,26,21120,180
55,31,21120,180
51,26,21360,180
55,31,21360,180
38,37,21600,240
50,26,21840,180
54,31,21840,180
50,26,22080,180
54,31,22080,180
43,37,22320,720
55,31,22560,180
50,26,22560,180
50,26,22800,180
55,31,22800,180
39,33,23040,120
51,40,23040,120
50,42,23280,120
38,34,23280,120
51,46,23520,120
39,38,23520,120
36,36,23760,120
48,44,23760,120
47,46,24000,120
35,37,24000,120
36,33,24240,120
48,37,24240,120
38,40,24480,120
50,49,24480,120
49,50,24720,120
37,42,24720,120
50,55,24960,120
38,44,24960,120
34,46,25200,120
46,55,25200,120
45,57,25440,120
33,47,25440,120
34,40,25680,120
46,47,25680,120
36,46,25920,120
48,56,25920,120
47,57,26160,120
35,48,26160,120
48,62,26400,120
36,50,26400,120
39,50,26640,120
51,60,26640,120
50,62,26880,120
38,52,26880,120
51,68,27120,120
39,56,27120,120
38,49,27360,120
50,58,27360,120
37,48,27600,120
49,57,27600,120
38,57,27840,120
50,67,27840,120
55,80,28080,120
43,67,28080,120
55,78,28320,120
50,65,28320,120
43,65,28320,120
62,39,29280,120
55,39,30000,120
50,39,30720,120
62,37,30960,720
55,22,31200,240
59,26,31200,240
55,22,31440,240
59,26,31440,240
64,40,31680,720
55,24,31920,240
59,28,31920,240
55,24,32160,240
59,28,32160,240
64,46,32400,720
54,21,32640,240
57,24,32640,240
54,21,32880,240
57,24,32880,240
62,37,33120,720
54,22,33360,240
57,26,33360,240
54,18,33600,240
57,22,33600,240
62,37,33840,720
52,17,34080,240
55,20,34080,240
52,17,34320,240
55,20,34320,240
60,40,34560,480
52,19,34800,480
55,22,34800,480
62,28,35040,240
60,46,35280,720
51,16,35520,240
54,19,35520,240
51,16,35760,240
54,19,35760,240
59,37,36000,720
51,22,36240,240
54,26,36240,240
51,18,36480,240
54,22,36480,240
59,37,36720,720
50,22,36960,240
55,26,36960,240
50,22,37200,240
55,26,37200,240
55,40,37440,720
47,24,37680,240
50,28,37680,240
47,24,37920,240
50,28,37920,240
57,49,38160,720
55,31,38400,240
48,26,38400,240
55,31,38640,240
48,26,38640,240
60,54,38880,720
55,38,39120,240
51,32,39120,240
55,38,39360,240
51,32,39360,240
59,51,39600,720
55,37,39840,240
50,31,39840,240
55,37,40080,240
50,31,40080,240
57,50,40320,720
